tempo= 125
56.795833333333334 9
57.03125 r
57.50416666666667 Q
57.514583333333334 e
57.52916666666667 I
57.53125 TG
58.03541666666667 H
58.03958333333333 I
58.0625 O
58.52708333333333 Q
58.8 j
58.81875 p
59.01875 6
59.045833333333334 r
59.541666666666664 a
59.547916666666666 k
59.56458333333333 T
60.01875 k$
60.03125 *
60.05 a
60.05833333333333 Q
60.53125 Q
60.78541666666667 0
60.80416666666667 S
60.8125 L
61.047916666666666 e
61.525 Q
61.541666666666664 e
61.545833333333334 T
61.56041666666667 L
61.57083333333333 S
62.03125 I
62.545833333333334 Q
63.03958333333333 6
63.05 e
63.53125 9
63.545833333333334 T
64.03125 O
64.0375 Q
64.05416666666666 $
64.54166666666667 Q
64.80833333333334 0
65.03125 e
65.48125 S
65.49583333333334 L
65.54166666666667 Q
65.54375 T
65.55416666666666 e
66.01458333333333 x
66.04166666666667 f
66.04583333333333 I
66.54583333333333 Q
66.7875 L
66.81875 S
67.03125 e
67.04583333333333 *
67.52916666666667 j
67.53125 T
67.55625 p
68.03125 9
68.04583333333333 2
68.525 Q
68.78125 9
69.03125 r
69.5375 Q
69.54166666666667 e
69.54583333333333 T
70.01875 Q
70.19791666666667 e
70.37708333333333 T
70.54583333333333 I
70.68333333333334 p
70.82291666666667 S
70.94791666666667 G
71.1 j
71.24166666666666 G
71.46875 S
71.58541666666666 p
71.74166666666666 I
71.89375 T
72.01458333333333 9
72.03125 u2
72.05833333333334 e
72.53125 Q
72.79583333333333 9
73.04583333333333 r
73.52083333333333 Q
73.53125 j
73.5375 e
73.54583333333333 T
73.55 p
74.0125 G
74.01875 I
74.53125 Q
75.02291666666666 r
75.03125 2
75.0375 S
75.04166666666667 L
75.53125 T
76.01875 k
76.02291666666666 a
76.03541666666666 *
76.03958333333334 !
76.53125 W
76.78958333333334 *
76.79166666666667 L
76.80833333333334 S
77.01875 r
77.53125 TO
77.5375 H
77.54166666666667 W
77.55208333333333 0
78.01875 u
78.53125 W
79.01458333333333 I
79.01666666666667 G
79.03125 r
79.05833333333334 (
79.53125 T
79.56458333333333 f
79.56875 u
80.01875 *
80.03125 Y!
80.53125 W
80.78125 *
81.03958333333334 r
81.53125 WT
81.54375 0
82.05833333333334 u
82.53125 W
83.01875 %
83.02708333333334 r
83.53125 T
83.53958333333334 f
83.54583333333333 u
84.01875 2
84.03125 9
84.04583333333333 I
84.0625 G
84.53958333333334 p
84.5625 e
84.77708333333334 Q
84.78958333333334 9
85.03125 d
85.05625 y
85.54166666666667 f
85.54375 Q
85.54583333333333 u
85.55625 e
86.03541666666666 G
86.04166666666667 I
86.54583333333333 Q
86.55 e
86.84375 O
86.85416666666667 H
87.03125 6
87.41666666666667 j
87.42083333333333 p
87.52708333333334 Q
87.53958333333334 e
88.02083333333333 O
88.03125 H
88.03958333333334 3
88.04166666666667 0
88.53958333333334 a
88.56666666666666 r
88.7375 W
88.7875 0
89.03541666666666 f
89.05208333333333 u
89.52916666666667 W
89.53541666666666 I
89.53958333333334 G
89.55625 r
90.05208333333333 O
90.075 H
90.42708333333333 r
90.53125 W
90.74791666666667 j
90.7625 p
91.05 7
91.41041666666666 O
91.41875 H
91.52291666666666 W
91.53958333333334 r
92.03541666666666 O
92.0375 $
92.03958333333334 H
92.04375 Q
92.05833333333334 *
92.07291666666667 a
92.53125 Q
92.76875 0
93.00833333333334 r
93.53125 T
93.53541666666666 Q
93.55625 e
94.05833333333334 I
94.54583333333333 Q
95.025 r
95.03333333333333 *
95.46875 G
95.48958333333333 I
95.51875 T
96.0 G
96.00833333333334 I
96.0375 $
96.04375 Q
96.07291666666667 p
96.53125 Q
96.80833333333334 0
97.03125 e
97.54375 e
97.54583333333333 T
97.54791666666667 Q
98.03125 I
98.54583333333333 Q
99.04583333333333 e
99.55833333333334 T
100.00208333333333 j
100.04791666666667 9
100.05416666666666 2
100.17083333333333 H
100.39375 G
100.57291666666667 S
100.71041666666666 p
100.79583333333333 2
100.80208333333333 9
100.8875 O
101.00208333333333 I
101.14375 u
101.36666666666666 Y
101.53125 Q
101.54583333333333 T
101.55 e
102.55 Q
103.04791666666667 r
103.05833333333334 6
103.5625 T
104.025 2
104.04583333333333 u
104.05 a
104.05208333333333 9
104.06458333333333 O
104.53125 Q
104.80833333333334 9
105.03125 r
105.53125 T
105.53958333333334 Q
105.54791666666667 e
106.03125 I
106.10416666666667 f
106.14583333333333 a
106.53125 Q
107.01666666666667 r
107.03125 6
107.53125 T
108.01458333333333 H
108.04375 $
108.04583333333333 S
108.05208333333333 Q
108.05833333333334 *
108.07708333333333 f
108.53125 Q
108.79583333333333 0
109.01875 r
109.5375 Q
109.54375 e
109.54583333333333 T
110.03125 I
110.51875 Q
111.01875 r
111.0375 *
111.53333333333333 T
112.02916666666667 Q
112.03541666666666 $
112.0375 S
112.04583333333333 j
112.08541666666666 f
112.56041666666667 Q
112.79583333333333 0
113.02291666666666 r
113.51875 Q
113.52083333333333 T
113.54583333333333 e
114.01875 H
114.025 S
114.04791666666667 fI
114.55 Q
115.01875 r
115.03125 *
115.05833333333334 f
115.08125 a
115.53125 T
116.02291666666666 9
116.04166666666667 S
116.04583333333333 2
116.05833333333334 I
116.08541666666666 p
116.53125 Q
116.80833333333334 9
117.03125 r
117.54166666666667 T
117.55208333333333 e
117.55833333333334 Q
118.04583333333333 I
118.53125 Q
119.01875 r
119.04375 6
119.51875 T9
120.03125 9
120.04166666666667 u
120.04583333333333 2
120.53125 Q
120.76875 9
121.03125 r
121.53333333333333 e
121.5375 Q
121.55833333333334 T
122.01458333333333 O
122.03541666666666 a
122.05833333333334 I
122.55833333333334 Q
123.01875 f
123.02916666666667 a
123.03125 6
123.04583333333333 r
123.55833333333334 T
124.01875 *
124.0375 $
124.04583333333333 Q
124.07083333333334 I
124.07291666666667 a
124.53125 Q
124.78125 0
125.03125 r
125.53125 Q
125.5375 e
125.54583333333333 T
126.07916666666667 I
126.09375 p
126.53125 Q
127.03333333333333 r
127.04583333333333 *
127.53125 T
128.01666666666668 Q
128.03125 $
128.05 O
128.08958333333334 u
128.53125 Q
128.78125 0
129.03125 r
129.525 Q
129.5375 e
129.54583333333332 T
130.08125 I
130.53333333333333 r
131.01458333333332 *
131.04166666666666 T
131.13958333333332 u
131.67083333333332 I
132.04166666666666 9
132.05208333333334 2
132.5375 Q
132.775 9
133.03125 r
133.53125 Q
133.55416666666667 T
133.56041666666667 e
134.025 I
134.54375 Q
135.04583333333332 r6
135.54166666666666 T
136.03333333333333 u9
136.05 2
136.06666666666666 O
136.0875 a
136.53125 Q
136.78333333333333 9
137.02916666666667 r
137.52083333333334 T
137.55 Q
137.55625 e
137.97916666666666 f
138.01458333333332 I
138.03541666666666 a
138.53125 Q
139.01666666666668 r
139.04583333333332 6
139.55416666666667 T
140.01458333333332 H
140.025 Q
140.04375 $
140.04583333333332 *
140.0625 f
140.1 S
140.53125 Q
140.78125 0
141.03125 r
141.51458333333332 T
141.53333333333333 Q
141.55208333333334 e
142.01458333333332 I
142.51875 Q
143.02708333333334 *
143.04583333333332 r
143.54583333333332 T
143.99791666666667 j
144.01458333333332 f
144.02083333333334 S
144.02708333333334 Q
144.05625 $
144.53125 Q
144.77083333333334 0
145.04583333333332 r
145.53125 T
145.56666666666666 Q
145.57708333333332 e
146.02083333333334 H
146.02916666666667 S
146.03125 I
146.04166666666666 f
146.53333333333333 Q
147.01458333333332 *
147.02708333333334 f
147.03125 r
147.06458333333333 a
147.53125 T
148.025 S
148.03125 9
148.03541666666666 I
148.05416666666667 2
148.06458333333333 p
148.55 Q
148.775 9
149.04166666666666 r
149.51875 Q
149.53125 e
149.55208333333334 T
150.02083333333334 I
150.53958333333333 Q
151.025 r
151.02916666666667 6
151.50416666666666 9
151.54583333333332 T
152.03958333333333 9
152.04583333333332 u
152.04791666666668 2
152.53333333333333 Q
152.79375 9
153.02291666666667 r
153.52916666666667 Q
153.55416666666667 T
